Elapsed Sec,Evacuation Rate
604.8878,0.8221154
604.9078,0.8221154
604.9278,0.8221154
604.9478,0.8221154
604.9678,0.8221154
604.9879,0.8221154
605.0079,0.8221154
605.0279,0.8221154
605.0479,0.8221154
605.0679,0.8221154
605.088,0.8221154
605.108,0.8221154
605.128,0.8221154
605.148,0.8221154
605.168,0.8221154
605.188,0.8221154
605.2081,0.8221154
605.2281,0.8221154
605.2481,0.8221154
605.2681,0.8221154
605.2881,0.8221154
605.3082,0.8221154
605.3282,0.8221154
605.3482,0.8221154
605.3682,0.8221154
605.3882,0.8221154
605.4083,0.8221154
605.4283,0.8221154
605.4483,0.8221154
605.4683,0.8221154
605.4883,0.8221154
605.5084,0.8221154
605.5284,0.8221154
605.5484,0.8221154
605.5684,0.8221154
605.5884,0.8221154
605.6085,0.8221154
605.6285,0.8221154
605.6485,0.8221154
605.6685,0.8221154
605.6885,0.8221154
605.7086,0.8221154
605.7286,0.8221154
605.7486,0.8221154
605.7686,0.8221154
605.7886,0.8221154
605.8087,0.8221154
605.8287,0.8221154
605.8487,0.8221154
605.8687,0.8221154
605.8887,0.8221154
605.9088,0.8221154
605.9288,0.8221154
605.9488,0.8221154
605.9688,0.8221154
605.9888,0.8221154
606.0089,0.8221154
606.0289,0.8221154
606.0489,0.8221154
606.0689,0.8221154
606.0889,0.8221154
606.1089,0.8221154
606.129,0.8221154
606.149,0.8221154
606.169,0.8221154
606.189,0.8221154
606.209,0.8221154
606.2291,0.8221154
606.2491,0.8221154
606.2691,0.8221154
606.2891,0.8221154
606.3091,0.8221154
606.3292,0.8221154
606.3492,0.8221154
606.3692,0.8221154
606.3892,0.8221154
606.4092,0.8221154
606.4293,0.8221154
606.4493,0.8221154
606.4693,0.8221154
606.4893,0.8221154
606.5093,0.8221154
606.5294,0.8221154
606.5494,0.8221154
606.5694,0.8221154
606.5894,0.8221154
606.6094,0.8221154
606.6295,0.8221154
606.6495,0.8221154
606.6695,0.8221154
606.6895,0.8221154
606.7095,0.8221154
606.7296,0.8221154
606.7496,0.8221154
606.7696,0.8221154
606.7896,0.8221154
606.8096,0.8221154
606.8297,0.8221154
606.8497,0.8221154
606.8697,0.8221154
606.8897,0.8221154
606.9097,0.8221154
606.9297,0.8221154
606.9498,0.8221154
606.9698,0.8221154
606.9898,0.8221154
607.0098,0.8221154
607.0298,0.8221154
607.0499,0.8221154
607.0699,0.8221154
607.0899,0.8221154
607.1099,0.8221154
607.1299,0.8221154
607.15,0.8221154
